method,hop,top_n,strategy,k1,b,query_id,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000054,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000055,0.500000,0.500000,0.333333,0.346210
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000056,0.250000,0.250000,0.333333,0.195190
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000057,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000058,0.500000,1.000000,0.333333,0.524981
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000059,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000060,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000061,0.333333,0.666667,0.500000,0.452508
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000062,0.000000,0.333333,0.166667,0.167160
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000063,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000064,0.333333,0.333333,0.250000,0.202107
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000065,0.000000,0.500000,0.125000,0.193426
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000066,0.333333,0.333333,0.250000,0.202107
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000067,0.500000,0.500000,0.333333,0.306574
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000068,0.000000,0.500000,0.111111,0.184576
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000069,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000070,0.000000,0.500000,0.142857,0.204382
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000071,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000072,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000073,0.500000,1.000000,0.500000,0.580279
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000074,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000075,0.333333,0.666667,0.500000,0.437349
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000076,0.500000,0.500000,1.000000,0.636682
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000077,1.000000,1.000000,1.000000,0.877215
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000078,0.000000,0.666667,0.125000,0.283693
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000079,1.000000,1.000000,0.500000,0.693426
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000080,0.500000,0.500000,1.000000,0.613147
